Designator,Mid X,Mid Y,Rotation,Layer
BT1,100.0,-100.0,180.0,top
BT2,125.0,-100.0,180.0,top
C1,112.5,-111.0,0.0,top
D1,112.5,-122.73,90.0,top
Q1,127.23,-114.865,0.0,top
Q2,97.73,-114.865,0.0,top
R1,112.5,-116.0,0.0,top
R2,106.0,-122.5,270.0,top
R3,112.69,-129.0,0.0,top
R4,119.0,-122.5,90.0,top
SW1,127.25,-123.75,0.0,top
SW2,97.75,-123.75,0.0,top
